Epoch 1, Loss_train: 0.0035594052671707762, Loss_verif: 0.00303359150854097
Epoch 2, Loss_train: 0.0030908263768976243, Loss_verif: 0.0030238155757835498
Epoch 3, Loss_train: 0.0030779915383052324, Loss_verif: 0.003031990689015998
Epoch 4, Loss_train: 0.0030712621576838074, Loss_verif: 0.003018139126399374
Epoch 5, Loss_train: 0.0030705961764259894, Loss_verif: 0.0030041029320156116
Epoch 6, Loss_train: 0.0030696111305608116, Loss_verif: 0.0030037346671233146
Epoch 7, Loss_train: 0.0030683060568758177, Loss_verif: 0.00303243549856849
Epoch 8, Loss_train: 0.003067131690295754, Loss_verif: 0.0030021835894457356
Epoch 9, Loss_train: 0.0030659459253720594, Loss_verif: 0.0030059201331545196
Epoch 10, Loss_train: 0.003065428462713645, Loss_verif: 0.0030893169847783074
Epoch 11, Loss_train: 0.003064344762618379, Loss_verif: 0.0030503779144812402
Epoch 12, Loss_train: 0.0030642412156436476, Loss_verif: 0.003020467472839992
Epoch 13, Loss_train: 0.003063583579877072, Loss_verif: 0.0030475936257138656
