Epoch 1, Loss_train: 0.44535511835968306, Loss_verif: 0.3161620936588254
Epoch 2, Loss_train: 0.08997470675172085, Loss_verif: 0.010272997982015556
Epoch 3, Loss_train: 0.007495165428153084, Loss_verif: 0.003237458102259897
Epoch 4, Loss_train: 0.0035788962208074017, Loss_verif: 0.0029409619590731076
Epoch 5, Loss_train: 0.0033670332916038524, Loss_verif: 0.0028428049917683454
Epoch 6, Loss_train: 0.0032965114301469404, Loss_verif: 0.002815272925322266
Epoch 7, Loss_train: 0.0032849620586973965, Loss_verif: 0.0028416912239927834
Epoch 8, Loss_train: 0.0033071740962679506, Loss_verif: 0.002879524926307765
Epoch 9, Loss_train: 0.003346406124958637, Loss_verif: 0.0029288633538065386
Epoch 10, Loss_train: 0.003397318973271749, Loss_verif: 0.0029879019520548575
Epoch 11, Loss_train: 0.0034558376503136677, Loss_verif: 0.0030441430582832155
Epoch 12, Loss_train: 0.0035190454474172995, Loss_verif: 0.00311562705985818
Epoch 13, Loss_train: 0.003585629014866872, Loss_verif: 0.00316949562352565
Epoch 14, Loss_train: 0.0036526796231385753, Loss_verif: 0.003238722676056401
Epoch 15, Loss_train: 0.0037222169310486704, Loss_verif: 0.0033037025366214495
Epoch 16, Loss_train: 0.003790985611596215, Loss_verif: 0.0033715802566178055
