Epoch 1, Loss_train: 0.021833801717426812, Loss_verif: 0.0035057087730551925
Epoch 2, Loss_train: 0.0034734383674354147, Loss_verif: 0.0025758027372156374
Epoch 3, Loss_train: 0.002622159445226267, Loss_verif: 0.002374230041037279
Epoch 4, Loss_train: 0.0024379576110545417, Loss_verif: 0.0023232549236150116
Epoch 5, Loss_train: 0.00237592593636368, Loss_verif: 0.0023252493921147015
Epoch 6, Loss_train: 0.002350412369908198, Loss_verif: 0.002315234625394252
Epoch 7, Loss_train: 0.0023346253705308294, Loss_verif: 0.0023053749873335927
Epoch 8, Loss_train: 0.002324526882549163, Loss_verif: 0.0023099294446495187
Epoch 9, Loss_train: 0.0023174133047782902, Loss_verif: 0.002300428688332093
Epoch 10, Loss_train: 0.0023114702258544835, Loss_verif: 0.0023024671511246643
Epoch 11, Loss_train: 0.0023062215109274976, Loss_verif: 0.0023112773016693445
Epoch 12, Loss_train: 0.002301884430791142, Loss_verif: 0.0023115527458290644
Epoch 13, Loss_train: 0.0022987320365360055, Loss_verif: 0.0022938500506569505
Epoch 14, Loss_train: 0.0022963816254984205, Loss_verif: 0.0023115945907285925
Epoch 15, Loss_train: 0.0022940708744818134, Loss_verif: 0.0023280038506604452
Epoch 16, Loss_train: 0.002292519880860667, Loss_verif: 0.0023118513576971117
Epoch 17, Loss_train: 0.002290711436120061, Loss_verif: 0.0023078469106600405
Epoch 18, Loss_train: 0.0022900626298668525, Loss_verif: 0.0023209845767550516
