Epoch 1, Loss_train: 0.06220928830173893, Loss_verif: 0.004602079447333355
Epoch 2, Loss_train: 0.004500450664579175, Loss_verif: 0.0027963416758171847
Epoch 3, Loss_train: 0.0031278314522144362, Loss_verif: 0.0027312718859294183
Epoch 4, Loss_train: 0.0029505156772094325, Loss_verif: 0.002715467412792058
Epoch 5, Loss_train: 0.002883410341721075, Loss_verif: 0.0027739727769997037
Epoch 6, Loss_train: 0.002830913229079455, Loss_verif: 0.002984791845495364
Epoch 7, Loss_train: 0.002789172329301384, Loss_verif: 0.0032074084267722115
Epoch 8, Loss_train: 0.0027642659096613767, Loss_verif: 0.0034406946370391734
Epoch 9, Loss_train: 0.002751461880263719, Loss_verif: 0.003532354100152721
Epoch 10, Loss_train: 0.002745331647824356, Loss_verif: 0.0037082343527547555
Epoch 11, Loss_train: 0.002740975530387185, Loss_verif: 0.0038826899903819617
Epoch 12, Loss_train: 0.00273703878991707, Loss_verif: 0.004068158621547988
Epoch 13, Loss_train: 0.0027347766871715167, Loss_verif: 0.004108381068442751
Epoch 14, Loss_train: 0.0027330811468010184, Loss_verif: 0.0041795006180335055
