Epoch 1, Loss_train: 0.11960365617932044, Loss_verif: 0.004692204346466018
Epoch 2, Loss_train: 0.0049406341769772846, Loss_verif: 0.0025358305062458545
Epoch 3, Loss_train: 0.0029728157548679374, Loss_verif: 0.002403636542365376
Epoch 4, Loss_train: 0.0028022510456218296, Loss_verif: 0.0023841259104548634
Epoch 5, Loss_train: 0.002730887901337058, Loss_verif: 0.002367914578862108
Epoch 6, Loss_train: 0.002706192798407617, Loss_verif: 0.002361229577894707
Epoch 7, Loss_train: 0.0026979742933421107, Loss_verif: 0.002366454176878117
Epoch 8, Loss_train: 0.00269086207989773, Loss_verif: 0.00237131921785443
Epoch 9, Loss_train: 0.0026871536842468864, Loss_verif: 0.0023811671181616723
Epoch 10, Loss_train: 0.0026819373788057503, Loss_verif: 0.0023556033983689103
Epoch 11, Loss_train: 0.002622601081954489, Loss_verif: 0.003605528085903454
Epoch 12, Loss_train: 0.0025429982500010783, Loss_verif: 0.005455941428772515
Epoch 13, Loss_train: 0.0025248685365347593, Loss_verif: 0.005999182010071187
Epoch 14, Loss_train: 0.002515781789610761, Loss_verif: 0.006353293888316699
Epoch 15, Loss_train: 0.002511499339612816, Loss_verif: 0.006608756249108324
Epoch 16, Loss_train: 0.0025096597496827465, Loss_verif: 0.006835498249178638
Epoch 17, Loss_train: 0.0025088485455509605, Loss_verif: 0.006876851843352495
Epoch 18, Loss_train: 0.0025085409648678263, Loss_verif: 0.0070797365681763225
Epoch 19, Loss_train: 0.0025074532264546577, Loss_verif: 0.007290386955008427
Epoch 20, Loss_train: 0.0025069832979491436, Loss_verif: 0.007373520520574319
