Epoch 1, Loss_train: 0.0030383150634291623, Loss_verif: 0.002583641320631609
Epoch 2, Loss_train: 0.00261420892496889, Loss_verif: 0.002604915145708052
Epoch 3, Loss_train: 0.002606685063525254, Loss_verif: 0.0026188222408819145
Epoch 4, Loss_train: 0.002600245129758889, Loss_verif: 0.0025629085888002525
Epoch 5, Loss_train: 0.002592084728022562, Loss_verif: 0.0025550213230458615
Epoch 6, Loss_train: 0.0025807109644640446, Loss_verif: 0.002543319113955917
Epoch 7, Loss_train: 0.0025723455552529436, Loss_verif: 0.002548825053870763
Epoch 8, Loss_train: 0.002569541973004443, Loss_verif: 0.0025563729536225354
Epoch 9, Loss_train: 0.002567990945893969, Loss_verif: 0.0025397395301004306
Epoch 10, Loss_train: 0.002567064318595564, Loss_verif: 0.0025447055308610205
Epoch 11, Loss_train: 0.00256616927487764, Loss_verif: 0.002539780079040461
Epoch 12, Loss_train: 0.0025651733792732088, Loss_verif: 0.0025366076110633776
Epoch 13, Loss_train: 0.002564241052083144, Loss_verif: 0.0025358135354670913
Epoch 14, Loss_train: 0.002563412362666419, Loss_verif: 0.0025411645858596436
Epoch 15, Loss_train: 0.0025621936900689195, Loss_verif: 0.0025302193419979965
Epoch 16, Loss_train: 0.0025605465004669096, Loss_verif: 0.0025273979775006553
Epoch 17, Loss_train: 0.002556774673857935, Loss_verif: 0.002535766770709204
Epoch 18, Loss_train: 0.002549595899346381, Loss_verif: 0.002525833600821098
Epoch 19, Loss_train: 0.002545550655783763, Loss_verif: 0.0025228810940383607
Epoch 20, Loss_train: 0.0025433672844890672, Loss_verif: 0.0025178079045946374
Epoch 21, Loss_train: 0.0025413018658224564, Loss_verif: 0.002515388018964507
Epoch 22, Loss_train: 0.0025397338415400358, Loss_verif: 0.002518326354541223
Epoch 23, Loss_train: 0.0025386019864296946, Loss_verif: 0.0025200488884538986
Epoch 24, Loss_train: 0.0025377808387760437, Loss_verif: 0.002519490385455613
Epoch 25, Loss_train: 0.0025372748243483088, Loss_verif: 0.0025132880042102695
Epoch 26, Loss_train: 0.002536710288234679, Loss_verif: 0.0025074054971041164
Epoch 27, Loss_train: 0.002536267055537363, Loss_verif: 0.0025057525048436495
Epoch 28, Loss_train: 0.0025359079858013524, Loss_verif: 0.002505534066791857
Epoch 29, Loss_train: 0.002535499239711029, Loss_verif: 0.0025108194096677677
Epoch 30, Loss_train: 0.0025346993473898596, Loss_verif: 0.002511550770663312
